Year,Private_Cars_Growth,Motorcycles_Scooters_Growth,Taxis_Growth,TSRs_Growth,Goods_Vehicles_Growth,Buses_Growth,Total_Motor_Vehicles_Growth,Yearly_Growth_Percent
2014,155256,335190,8351,5002,13712,1253,518764,6.67
2015,161223,383568,920,-10207,7167,-8407,534264,6.44
2016,196013,422805,11467,116504,119338,11183,877310,9.93
2017,166131,603821,57361,-24137,-49392,-5458,778016,8.01
2018,181588,477142,8359,14173,39250,1008,721520,6.88
2019,-84628,370969,-47013,-74933,59624,-7055,187274,1.67
2020,61909,403751,12696,1651,20235,1084,501326,4.4
2021,73157,279797,-10075,-22,17624,-8,360473,3.03
2022,-1327079,-3103729,-27322,-22720,-17119,-16012,-4513981,-36.83
2023,13458,159079,-1801,1505,34036,-50,206227,2.66
